project_id,camera_check_tbl_id,camera_label,station_id,check_date,treatment,bait,feature,camera_status,media_recovered,quiet_period,battery,sensitivity,images_per_trigger,camera_height,camera_angle,camera_bearing,camera_distance,stop_date
BLT,2370,WC218,BLT24,2023-07-14 00:00:00,Off-trail,None,"Trail, game",Active in field,f,0,100,100,1,0.31,0,0,4.66,
BLT,2394,WC340,BLT17,2023-07-15 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,f,0,100,100,1,1.07,0,0,3.2,
BLT,2395,WC222,BLT18,2023-07-14 00:00:00,Off-trail,None,"Trail, game",Active in field,f,0,100,100,1,1.25,0,0,2.62,
BLT,2397,WC345,BLT28,2023-07-12 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,f,0,100,100,1,0.76,0,0,,
BLT,2443,WC223,BLT06,2023-08-22 00:00:00,Off-trail.,None,"Trail, hiking/people",Active in field,t,0,100,100,1,0.81,0,0,2.74,
BLT,2444,WC185,BLT07,2023-08-22 00:00:00,On-trail.,None,"Trail, hiking/people",Active in field,t,0,100,100,1,2,0,0,3,
BLT,2389,WC144,BLT05,2023-07-11 00:00:00,Off-trail,None,"Trail, game",Active in field,t,0,100,100,1,0.79,0,0,1,2023-08-23 00:00:00
BLT,2445,WC209,BLT08,2023-08-22 00:00:00,Off-trail.,None,"Trail, game",Active in field,t,0,100,100,1,0.48,0,0,1.65,
BLT,2371,WC216,BLT25,2023-07-14 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,f,0,100,100,1,0.86,0,0,3.35,2023-07-14 00:00:00
BLT,2385,WC215,BLT42,2023-07-13 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,f,0,100,100,1,0.48,0,0,3,
BLT,2396,WC338,BLT23,2023-07-14 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,f,0,100,100,1,1.59,0,0,3.26,
BLT,2372,WC080,BLT26,2023-07-12 00:00:00,On-trail.,None,"Trail, hiking/people",Active in field,f,0,100,100,1,1.45,0,0,3,
BLT,2378,WC124,BLT33,2023-07-13 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,f,0,100,100,1,0.69,0,0,,
BLT,2381,WC184,BLT36,2023-07-13 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,f,0,100,100,1,0.61,0,0,5,
BLT,2446,WC344,BLT09,2023-08-22 00:00:00,Off-trail,None,"Trail, game",Active in field,t,1,100,100,1,1.08,0,0,3.17,
BLT,2375,WC201,BLT30,2023-07-14 00:00:00,Off-trail,None,"Road, paved",Active in field,f,0,100,100,1,0.36,0,0,3.07,
BLT,2382,WC233,BLT37,2023-07-13 00:00:00,Off-trail,None,"Trail, game",Active in field,f,0,100,100,1,0.3,0,0,,
BLT,2388,WC110,BLT45,2023-07-13 00:00:00,Off-trail,None,"Trail, game",Active in field,f,1,100,100,1,0.46,0,0,2,
BLT,2438,WC259,BLT01,2023-08-23 00:00:00,On-trail. ,None,"Trail, hiking/people",Active in field,t,0,100,100,1,0.66,0,0,4.29,
BLT,2363,WC171,BLT12,2023-07-16 00:00:00,Off-trail,None,"Trail, game",Active in field,f,0,100,100,1,1.5,0,0,2.36,
BLT,2376,WC212,BLT31,2023-07-12 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,f,0,100,100,1,1.4,0,0,2.24,
BLT,2383,WC205,BLT38,2023-07-13 00:00:00,Off-trail,None,"Trail, game",Active in field,f,0,100,100,1,0.47,0,0,3.43,
BLT,2357,WC231,BLT02,2023-07-11 00:00:00,Off-trail,None,"Trail, game",Active in field,t,0,100,100,1,0.56,0,0,3.2,2023-08-23 00:00:00
BLT,2390,WC209,BLT08,2023-07-11 00:00:00,Off-trail.,None,"Trail, game",Active in field,t,0,100,100,1,0.48,0,0,1.65,2023-08-23 00:00:00
BLT,2356,WC259,BLT01,2023-07-11 00:00:00,On-trail. ,None,"Trail, hiking/people",Active in field,t,0,100,100,1,0.66,0,0,4.29,2023-08-23 00:00:00
BLT,2358,WC206,BLT03,2023-07-11 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,t,0,100,100,1,1,0,0,3,2023-08-23 00:00:00
BLT,2391,WC344,BLT09,2023-07-11 00:00:00,Off-trail,None,"Trail, game",Active in field,t,1,100,100,1,1.08,0,0,3.17,2023-08-22 00:00:00
BLT,2384,WC193,BLT40,2023-07-13 00:00:00,On-trail,None,"Road, paved",Active in field,f,0,100,100,1,0.57,0,0,1.83,
BLT,2439,WC231,BLT02,2023-08-23 00:00:00,Off-trail,None,"Trail, game",Active in field,t,0,100,100,1,0.56,0,0,3.2,
BLT,2447,WC244,BLT10,2023-08-22 00:00:00,On-trail.,None,"Trail, hiking/people",Active in field,t,0,100,100,1,0.97,0,0,2.71,
BLT,2359,WC179,BLT04,2023-07-11 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,t,0,100,100,1,2,0,0,3,2023-08-23 00:00:00
BLT,2364,WC120,BLT14,2023-07-15 00:00:00,Off-trail,None,"Trail, game",Active in field,f,0,100,100,1,1.25,0,0,3.48,
BLT,2365,WC122,BLT16,2023-07-16 00:00:00,Off-trail,None,"Trail, game",Active in field,f,0,100,100,1,0.51,0,0,2.08,
BLT,2366,WC306,BLT19,2023-07-14 00:00:00,On-trail,None,"Trail, game",Active in field,f,0,100,100,1,1.09,0,0,2.79,
BLT,2367,WC138,BLT20 ,2023-07-14 00:00:00,On-trail.,None,"Trail, hiking/people",Active in field,f,0,100,100,1,1.42,0,0,3.3,
BLT,2368,WC115,BLT21,2023-07-14 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,f,0,100,100,1,0.76,0,0,3.73,
BLT,2369,WC173,BLT22,2023-07-14 00:00:00,On-trail.,None,"Trail, hiking/people",Active in field,f,0,100,100,1,1.22,0,0,3.71,
BLT,2373,WC219,BLT27,2023-07-12 00:00:00,Off-trail,None,"Trail, game",Active in field,f,0,100,100,1,0.79,0,0,3.36,
BLT,2374,WC161,BLT29,2023-07-12 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,f,0,100,100,1,0.48,0,0,2,
BLT,2377,WC347,BLT32,2023-07-12 00:00:00,Off-trail,None,Other,Active in field,f,0,100,100,1,0.5,0,0,5,
BLT,2379,WC227,BLT34,2023-07-12 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,f,0,100,100,1,0.64,0,0,3.61,
BLT,2380,WC125,BLT35,2023-07-13 00:00:00,Off-trail,None,"Trail, game",Active in field,f,0,100,100,1,0.58,0,0,3.1,
BLT,2386,WC286,BLT43,2023-07-13 00:00:00,Off-trail,None,"Trail, game",Active in field,f,0,100,100,1,0.56,0,0,3,
BLT,2392,WC197,BLT13,2023-07-15 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,f,0,100,100,1,1.35,0,0,3.05,
BLT,2440,WC206,BLT03,2023-08-23 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,t,0,100,100,1,0.83,0,0,3,
BLT,2441,WC179,BLT04,2023-08-23 00:00:00,On-trail,None,"Trail, hiking/people",Active in field,t,0,100,100,1,2,0,0,3,
BLT,2360,WC223,BLT06,2023-07-11 00:00:00,Off-trail.,None,"Trail, hiking/people",Active in field,t,0,100,100,1,0.81,0,0,2.74,2023-08-23 00:00:00
