project_id,camera_check_tbl_id,camera_label,station_id,check_date,treatment,bait,feature,camera_status,media_recovered,quiet_period,battery,sensitivity,images_per_trigger,camera_height,camera_angle,camera_bearing,camera_distance,stop_date
MK,69,WC092,MK02,2019-06-27 00:00:00,"NE facing, deployed at 15:17",None,"Road, dirt",Active in field,f,0,100,100,1,1.63,0,0,,2019-08-29 00:00:00
MK,68,WC089,MK01,2019-06-27 00:00:00,"Facing NW, elev. 266m, point 017 on grey GPS",None,"Trail, hiking/people",Active in field,t,0,100,100,1,0.85,0,0,,2019-08-30 00:00:00
MK,70,WC091,MK03,2019-06-27 00:00:00,"Facing SE, perpendicular to road",None,"Road, dirt",Active in field,f,0,100,100,1,0.82,0,0,,2019-08-30 00:00:00
MK,71,WC087,MK04,2019-06-29 00:00:00,Facing N,None,"Trail, game",Active in field,f,0,100,100,1,0.74,0,0,,2019-08-30 00:00:00
MK,72,WC200,MK05,2019-06-29 00:00:00,Facing S,None,"Road, paved",Active in field,f,0,100,100,1,0.54,0,0,,2019-08-29 00:00:00
MK,1296,WC095,MK11,2021-10-29 00:00:00,N-facing,None,"Trail, game",Available for use,t,0,100,100,1,1.75,0,0,,2021-10-29 00:00:00
MK,140,WC097,MK09,2019-09-28 00:00:00,N-facing,None,"Road, dirt",Camera Hardware Failure,t,0,100,100,1,1.05,0,0,,
MK,98,WC158,MK06,2019-07-11 00:00:00,N facing,None,"Road, dirt",Active in field,f,0,100,100,1,1.74,0,0,,2019-08-30 00:00:00
MK,141,WC093,MK08,2019-09-28 00:00:00,N-facing,None,"Trail, game",Active in field,t,0,100,100,1,1.13,0,0,,2020-06-05 00:00:00
MK,101,WC097,MK09,2019-07-11 00:00:00,N-facing,None,"Road, dirt",Active in field,f,0,100,100,1,1.05,0,0,,2019-09-28 00:00:00
MK,102,WC096,MK10,2019-07-16 00:00:00,N-facing,None,"Trail, game",Active in field,f,0,100,100,1,0.83,0,0,,2020-02-01 00:00:00
MK,103,WC095,MK11,2019-07-16 00:00:00,N-facing,None,"Trail, game",Active in field,f,0,100,100,1,1.75,0,0,,2020-02-01 00:00:00
MK,104,WC094,MK12,2019-07-16 00:00:00,NW-facing,None,"Road, dirt",Active in field,f,0,100,100,1,1.13,0,0,,2019-08-29 00:00:00
MK,105,WC099,MK13,2019-07-16 00:00:00,NNW-facing,None,"Road, dirt",Active in field,f,0,100,100,1,1.54,0,0,,2019-08-29 00:00:00
MK,107,WC159,MK14,2019-07-18 00:00:00,N-facing,None,"Trail, game",Active in field,f,0,100,100,1,0.85,0,0,,2019-08-20 00:00:00
MK,106,WC100,MK15,2019-07-18 00:00:00,S-facing,None,"Trail, game",Active in field,f,0,100,100,1,0.78,0,0,,2019-08-29 00:00:00
MK,126,WC159,MK14,2019-08-20 00:00:00,N-facing,None,"Trail, game",Active in field,t,0,100,100,1,0.85,0,0,,2020-02-07 00:00:00
MK,108,WC230,MK16,2019-07-23 00:00:00,NW-facing,None,"Trail, game",Active in field,f,0,100,100,1,2,0,0,,2019-09-28 00:00:00
MK,109,WC098,MK17,2019-07-23 00:00:00,W-facing,None,"Trail, game",Active in field,f,0,100,100,1,1.77,0,0,,2019-09-28 00:00:00
MK,143,WC098,MK17,2019-09-28 00:00:00,W-facing,None,"Trail, game",Active in field,t,0,100,100,1,1.77,0,0,,2020-06-11 00:00:00
MK,196,WC068,MKRF1,2020-02-01 00:00:00,opportunistic deployment by Cole,None,"Trail, hiking/people",Vandalism/Theft,f,1,100,100,1,1,0,0,,
MK,195,WC095,MK11,2020-02-01 00:00:00,N-facing,None,"Trail, game",Active in field,t,0,100,100,1,1.75,0,0,,2020-06-13 00:00:00
MK,183,WC068,MKRF1,2019-03-18 00:00:00,opportunistic deployment by Cole,None,"Trail, hiking/people",Active in field,f,1,100,100,1,1,0,0,,2019-07-16 00:00:00
MK,184,WC068,MKRF1,2019-07-16 00:00:00,opportunistic deployment by Cole,None,"Trail, hiking/people",Active in field,t,1,100,100,1,1,0,0,,2019-07-16 00:00:00
MK,185,WC069,MKRF2,2019-03-18 00:00:00,opportunistic deployment by Cole,None,"Trail, hiking/people",Active in field,f,1,100,100,1,1,0,0,,2019-07-11 00:00:00
MK,186,WC069,MKRF2,2019-07-11 00:00:00,opportunistic deployment by Cole,None,"Trail, hiking/people",Active in field,t,1,100,100,1,1,0,0,,2020-02-01 00:00:00
MK,198,WC069,MKRF2,2020-02-01 00:00:00,opportunistic deployment by Cole,None,"Trail, hiking/people",Active in field,t,1,100,100,1,1,0,0,,2020-06-05 00:00:00
