station_tbl_id,station_id,project_id,latitude,longitude,site_location,site_comments
90,MK04,MK,49.3488,-122.556,"020 on grey GPS. Open (no undergrowth) area of approximately 50m X 50m ~100m from Katherine Lake. Poised up on ridge that drops down to lake, so steep slopes around the area. Landscape outside open area surrounded by dense shrubby undergrowth. Mixed conifer forest (hemlock, larch, douglas fir). Clear sight lines, no vegetation to trim. ",Bear scat ~10m from cam -- no signs of human activity aside from the decommissioned road used to navigate to the area (but that's likely not been used for several years now).
88,MK02,MK,49.319,-122.597,"400m elevation. On-road (~3m from road) in a predominantly cedar-hemlock forest (mixed conifer) with little undergrowth. Clear sight lines, perpendicular to road, just up the road from cutblock.","No signs of wildlife, other than a deer with two fawns noted approx. 1km away on road. Current road (but near the end of the road), so human activity is possible.

"
121,MK06,MK,49.34,-122.543,"On road H, next to future (2021) thinning site. Uneven terrain with a somewhat sloped road running through it. Mostly sparse understory in a mixed conifer (subalpine/grand fir, hemlock) forest. Clear sight lines.",No signs of wildlife. Human activity prevalent.
123,MK08,MK,49.2907,-122.549,"Approximately 30 degree sloped hill. Camera mounted on hemlock directly in the middle of a game trail. Trail runs perpendicular to the slope of the hill. Moderate (knee-height) understory in a mixed conifer (hemlock-dominant) forest. Sight lines cleared of ferns on arrival, but may require furhter maintenance in the future.","Game trail evident - no scat noted. No H.A. visible, aside from flagging ~150m uphill."
124,MK09,MK,49.3105,-122.542,"*031 on grey GPS

On road (B-area) in future thinning area. Moderately (20-30 degree) sloped hill - road runs perpendicular to slope. Clear sight lines - mild vegetation control. Mixed conifer (fir dominant) forest with medium understory.",Bear scat ~150m down road - human activity obvious
125,MK10,MK,49.2851,-122.589,"Approximately 20m from a creek, nested in a slight gulley. Small understory in a medium age, doug fir/hemlock forest. ",Little sign of wildlife (vague game trails). Old (very old) logging activity visible. *Mosquito repellent and machete advised for checks.
126,MK11,MK,49.2963,-122.594,"On hilltop near previous cutblocks. Upslope from Goose Lake. Approx. 40m from very small tributary. Sight lines cleared (small ferns may need additional maintenance later). Mixed conifer forest (fir, hemlock); medium-tall understory with very thorny bushes.","Bear scat in immediate vicinity; sporadic flagging throughout area, but it's unclear what exactly it's for (several colors, no real trail). Vague trails through site, possibly game or human."
127,MK12,MK,49.2808,-122.568,"Open space with seemingly large human presence. Evidence of rock-blasting and litter (40-50 cardboard boxes piled nearby -- likely in sight of camera shot). Clear sight lines in a mixed conifer (douglas, fir, hemlock) forest (around edges of open space). Medium understory in surrounding forest.",Coyote adult and pup in open space on arrival to site. Human activity dominant.
128,MK13,MK,49.3071,-122.578,"On road E10 (heads to radio tower). Decent slope of around 30 degrees with heavy downfall and minimal understory. Clear sight lines in a mixed conifer (primary doug fir, some hem) forest. ",Bear scat on road; coyote/dog scat next to cam. Human activity obvious.
130,MK14,MK,49.3055,-122.556,"Open area amidst medium age forest. Atop a hill approximately 200m south of previous logging area (decent sized cutblock). Clear sight lines, minimal-no understory in a mixed conifer (douglas fir, hemlock) forest. ","Bear scat in immediate vicinity (two distinct piles); strong game trails throughout area; no human activity. Lock malfunction upon deployment (could not operate lock with any of the four keys I had with me), so camera is not locked."
226,MKRF2,MK,49.2706,-122.572,"Side trail off Yellow trail, 30 m from creek
",
